probe_id,timestamp,readable_time,selected_ip,in_dns_set,avg_rtt
1011275,1759845429,2025-10-07 15:57:09,142.251.37.110,1,8.7045541
1012213,1759845432,2025-10-07 15:57:12,142.250.186.206,1,6.8183631999999985
50201,1759845454,2025-10-07 15:57:34,172.253.115.93,1,34.852162400000005
51062,1759845477,2025-10-07 15:57:57,142.251.36.46,1,12.913712699999996
51802,1759845477,2025-10-07 15:57:57,172.217.165.14,1,8.5479457
52015,1759845462,2025-10-07 15:57:42,142.251.179.93,1,23.4297167
52229,1759845448,2025-10-07 15:57:28,142.250.65.238,1,19.4775081
52235,1759845450,2025-10-07 15:57:30,142.251.116.91,1,13.3364041
52645,1759845456,2025-10-07 15:57:36,142.251.32.14,1,15.342137399999999
53309,1759845460,2025-10-07 15:57:40,142.250.186.78,1,5.719625
54268,1759845478,2025-10-07 15:57:58,142.250.65.206,1,5.735108200000001
54374,1759845448,2025-10-07 15:57:28,142.250.74.142,1,34.2568042
54627,1759845462,2025-10-07 15:57:42,64.233.162.198,1,45.5453585
54647,1759845477,2025-10-07 15:57:57,216.58.204.238,1,18.272195899999996
54670,1759845448,2025-10-07 15:57:28,142.251.143.46,1,16.146462500000002
55012,1759845474,2025-10-07 15:57:54,172.217.16.142,0,16.430674900000003
55330,1759845458,2025-10-07 15:57:38,142.250.68.78,0,8.3059501
55515,1759845453,2025-10-07 15:57:33,142.250.204.14,1,13.5396459
55761,1759845478,2025-10-07 15:57:58,172.253.122.93,1,5.4240124000000005
55859,1759845453,2025-10-07 15:57:33,216.58.215.78,1,4.3078249
60105,1759845475,2025-10-07 15:57:55,142.251.41.46,1,16.6177906
60135,1759845478,2025-10-07 15:57:58,142.250.178.174,1,33.8032285
60254,1759845477,2025-10-07 15:57:57,142.250.80.46,1,10.6503753
60433,1759845461,2025-10-07 15:57:41,74.125.130.190,1,41.476100100000004
60525,1759845449,2025-10-07 15:57:29,142.250.200.110,1,106.9445883
60689,1759845454,2025-10-07 15:57:34,142.250.217.142,1,140.9772349
60958,1759845453,2025-10-07 15:57:33,142.250.176.14,1,3.1957201
61181,1759845461,2025-10-07 15:57:41,142.250.203.142,1,10.9784783
61364,1759845479,2025-10-07 15:57:59,142.250.140.93,1,11.117863700000001
61448,1759845458,2025-10-07 15:57:38,74.125.206.190,1,14.8657445
61476,1759845455,2025-10-07 15:57:35,142.250.200.142,1,27.619034699999997
62093,1759845449,2025-10-07 15:57:29,142.250.179.110,1,8.224619200000001
62174,1759845460,2025-10-07 15:57:40,142.250.140.91,1,7.176979000000001
62732,1759845453,2025-10-07 15:57:33,142.250.185.110,1,16.059289
62832,1759845474,2025-10-07 15:57:54,172.217.24.46,1,5.5968823
62917,1759845448,2025-10-07 15:57:28,142.250.198.238,1,61.51057579999999
63046,1759845451,2025-10-07 15:57:31,172.217.16.206,1,43.5563845
65132,1759845475,2025-10-07 15:57:55,142.250.74.14,1,76.3486083
65369,1759845474,2025-10-07 15:57:54,142.251.43.206,1,71.7269824
65505,1759845450,2025-10-07 15:57:30,142.250.75.14,1,85.7950757
65507,1759845452,2025-10-07 15:57:32,142.250.74.46,1,60.01410279999999
65581,1759845463,2025-10-07 15:57:43,,0,-1
